etab_identifiant_de_l_etablissement;etab_nom_etablissement;etab_adresse_1;etab_adresse_2;etab_adresse_3;etab_code_postal;etab_nom_commune;etab_libelle_departement;etab_libelle_academie;etab_fiche_onisep;etab_type_etablissement;etab_statut_public_prive;etab_libelle_nature;etab_telephone;etab_mail;etab_web;etab_latitude;etab_longitude;course_code;course_univers;course_niveau;course_formTypeSigle;course_formTypeLib;course_formLib;course_formSigle;course_rncp;course_codeSco;course_urlOnisep;course_color
0750785W;LP Galilée;28 rue de Patay;;;75013;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10509;Lycée;Public;LYCEE PROFESSIONNEL;01 45 82 65 50;ce.0750785w@ac-paris.fr;http://lyc-galilee.ac-paris.fr;48.825315026327196;2.375166781718904;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0750785W;LP Galilée;28 rue de Patay;;;75013;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10509;Lycée;Public;LYCEE PROFESSIONNEL;01 45 82 65 50;ce.0750785w@ac-paris.fr;http://lyc-galilee.ac-paris.fr;48.825315026327196;2.375166781718904;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0771617P;Section d'enseignement professionnel du lycée polyvalent Clément Ader;76 rue Georges Clemenceau;;;77220;Tournan-en-Brie;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14226;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 64 07 20 18;ce.0772342c@ac-creteil.fr;http://www.lyceeader.eu;48.74317742111429;2.7482706204503407;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0921626T;Lycée professionnel industriel Claude Chappe;54-80 rue des Alouettes;;;92000;Nanterre;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15654;Lycée;Public;LYCEE PROFESSIONNEL;01 46 25 05 80;0921626t@ac-versailles.fr;http://www.lyc-claudechappe-nanterre.ac-versailles.fr;48.883562811153844;2.2114494917885015;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0782565P;Lycée Jules Ferry;29 rue du Maréchal Joffre;;;78000;Versailles;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2517;Lycée;Public;LYCEE POLYVALENT;01 39 20 11 60;0782565p@ac-versailles.fr;http://www.lyc-ferry-versailles.ac-versailles.fr;48.79453560162573;2.1211539400128516;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0782565P;Lycée Jules Ferry;29 rue du Maréchal Joffre;;;78000;Versailles;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2517;Lycée;Public;LYCEE POLYVALENT;01 39 20 11 60;0782565p@ac-versailles.fr;http://www.lyc-ferry-versailles.ac-versailles.fr;48.79453560162573;2.1211539400128516;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0782565P;Lycée Jules Ferry;29 rue du Maréchal Joffre;;;78000;Versailles;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2517;Lycée;Public;LYCEE POLYVALENT;01 39 20 11 60;0782565p@ac-versailles.fr;http://www.lyc-ferry-versailles.ac-versailles.fr;48.79453560162573;2.1211539400128516;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0782602E;Lycée professionnel Jean Moulin;16-18 rue du Docteur Audigier;;;78150;Le Chesnay-Rocquencourt;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9288;Lycée;Public;LYCEE POLYVALENT;01 39 23 16 80;0782602e@ac-versailles.fr;http://www.lyc-moulin-lechesnay.ac-versailles.fr/;48.826174606347394;2.1326553990732626;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940823J;Lycée professionnel Robert Keller - Le Foyer de Cachan;36 avenue du Président Wilson;;;94230;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9117;Lycée;Privé;LYCEE PROFESSIONNEL;01 45 46 70 01;ce.0940823J@ac-creteil.fr;https://www.lycee-robert-keller.fr/;48.79227481375514;2.3291506549534873;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0940823J;Lycée professionnel Robert Keller - Le Foyer de Cachan;36 avenue du Président Wilson;;;94230;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9117;Lycée;Privé;LYCEE PROFESSIONNEL;01 45 46 70 01;ce.0940823J@ac-creteil.fr;https://www.lycee-robert-keller.fr/;48.79227481375514;2.3291506549534873;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
